"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11855","Проверка получения списка заказов","tests","2026-03-23","passed","2026-03-23","","test_get_list_of_orders","",""
"Проверка выбора цвета: черный, серый, оба или отсутствие выбора","428","Создание заказа с разными вариантами цвета","tests","2026-03-23","passed","2026-03-23","TestCreateOrder","test_create_order","",""
"","425","Успешная авторизация курьера","tests","2026-03-23","passed","2026-03-23","TestLoginCourier","test_login_courier","",""
"","395","Ошибка 400 при отсутствии обязательного поля","tests","2026-03-23","passed","2026-03-23","TestCreateCourier","test_create_courier","",""
"","451","Ошибка при авторизации под несуществующим пользователем","tests","2026-03-23","passed","2026-03-23","TestLoginCourier","test_login_courier","",""
"","432","Ошибка 400 при отсутствии обязательного поля","tests","2026-03-23","passed","2026-03-23","TestCreateCourier","test_create_courier","",""
"Проверка выбора цвета: черный, серый, оба или отсутствие выбора","441","Создание заказа с разными вариантами цвета","tests","2026-03-23","passed","2026-03-23","TestCreateOrder","test_create_order","",""
"","410","Ошибка 400 при отсутствии обязательного поля","tests","2026-03-23","passed","2026-03-23","TestCreateCourier","test_create_courier","",""
"","375","Ошибка при логине с незаполненным полем","tests","2026-03-23","passed","2026-03-23","TestLoginCourier","test_login_courier","",""
"","774","Ошибка при создании дубликата курьера","tests","2026-03-23","passed","2026-03-23","TestCreateCourier","test_create_courier","",""
"","1720","Проверка получения заказа по его трек-номеру","tests","2026-03-23","passed","2026-03-23","","test_get_list_of_orders","",""
"","525","Успешное создание курьера","tests","2026-03-23","passed","2026-03-23","TestCreateCourier","test_create_courier","",""
"Проверка выбора цвета: черный, серый, оба или отсутствие выбора","387","Создание заказа с разными вариантами цвета","tests","2026-03-23","passed","2026-03-23","TestCreateOrder","test_create_order","",""
"Проверка выбора цвета: черный, серый, оба или отсутствие выбора","349","Создание заказа с разными вариантами цвета","tests","2026-03-23","passed","2026-03-23","TestCreateOrder","test_create_order","",""
"","396","Ошибка при логине с незаполненным полем","tests","2026-03-23","passed","2026-03-23","TestLoginCourier","test_login_courier","",""
